,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
185,1647739725000.0,2022-03-20 01:28:45,+0000,,@slcairport Welcoming them with the worst mask enforcement in a major us airport. Disgusting.,en,[],[],175286554,175286554,bigbearpdx,PSPSTL,7,01,https://twitter.com/bigbearpdx/status/1505355632374812675,[],[],0,,False,0,0,0,,mask US,,,,,,,"[{'screen_name': 'slcairport', 'name': 'SaltLakeCityAirport', 'id': '64482611'}]",
186,1647739660000.0,2022-03-20 01:27:40,+0000,,"So professional doctors and agencies are warning us that another Covid crises is imminent...other countries are experiencing it...but US politicians are dropping mask mandates &amp; herding us back out into the streets. Yes, indeed, our government cares deeply about our lives.",en,[],[],1258946448907010049,1258946448907010049,SimmonsOfNight,William Simmons,7,01,https://twitter.com/SimmonsOfNight/status/1505355360084844544,[],[],0,,False,4,0,0,,mask US,,,,,,,[],
187,1647739603000.0,2022-03-20 01:26:43,+0000,,"@nathaliejacoby1 Don't go, and don't let your husband go. Everyone I know has been vaxxed, and I still don't feel comfortable socializing. I wear a mask, gloves, order pick up for groceries, wash my hands. The fourth wave is arriving in the US, everyone be careful.",en,[],[],1104394312408653826,1104394312408653826,BannedfromScrib,Katherine ~#StandWithUkraine~ Lopez,7,01,https://twitter.com/BannedfromScrib/status/1505355120111804425,[],[],0,,False,1,2,0,,mask US,,,,,,,"[{'screen_name': 'nathaliejacoby1', 'name': 'Nathalie Jacoby', 'id': '1280478731874848769'}]",
188,1647739588000.0,2022-03-20 01:26:28,+0000,,@TheRickyDavila wearing a mask?  I'm still doubling up!  I know the next surge is overseas and is buying business class seats to the US as we speak!,en,[],[],580108371,580108371,DenRob123,mysterious traveler,7,01,https://twitter.com/DenRob123/status/1505355059227287553,[],[],0,,False,0,0,0,,mask US,,,,,,,"[{'screen_name': 'TheRickyDavila', 'name': 'Ricky Davila 🌻🇺🇦', 'id': '341190477'}]",
189,1647739554000.0,2022-03-20 01:25:54,+0000,,"@sapphireangel I strongly relate to your posts today.  I still mask up.  Me, my sister, and her daughters have asthma.  I would rather not find out what COVID could do to us I I can help it.",en,[],[],1604146598,1604146598,MichiganPal,Pauline,7,01,https://twitter.com/MichiganPal/status/1505354912896532480,[],[],0,,False,0,1,0,,mask US,,,,,,,"[{'screen_name': 'sapphireangel', 'name': 'Keri Svendsen', 'id': '19459000'}]",
190,1647739524000.0,2022-03-20 01:25:24,+0000,,The nerve of others criticizing those of us who choose to wear a mask! What about our “freedoms?”  I’m so glad I live in a blue state. So sorry for your experience.,en,[],[],1457260707544764421,1457260707544764421,_JillAlexander,Jill Alexander,7,01,https://twitter.com/_JillAlexander/status/1505354787683983361,[],[],0,,False,4,1,0,https://twitter.com/d0w1550/status/1505271188217544707,mask US,,,,,,,[],
191,1647739450000.0,2022-03-20 01:24:10,+0000,,Need mask? Visit our online store :  https://t.co/69Vwo4XHpa  https://t.co/BxcMmz5MsT,en,[],[],1265174048381730827,1265174048381730827,maskpro_US,MaskPro,7,01,https://twitter.com/maskpro_US/status/1505354477385445379,['http://maskpro.us'],"['https://pbs.twimg.com/media/EY9oomXUwAAIwVa.jpg', 'https://pbs.twimg.com/media/EY9oo0OVcAI772A.jpg']",1,https://pbs.twimg.com/media/EY9oomXUwAAIwVa.jpg,False,0,0,0,,mask US,,,,,,,[],
192,1647739437000.0,2022-03-20 01:23:57,+0000,,@BeautifulSabr @BombDr73 @BobbyLunch69 @GeorgeMonbiot @AaronBastani I suppose though the US secretary of state doesn't know what hes talking about right,en,[],[],1358140854897152005,1358140854897152005,rynrbrtsn,Calmac's white mask,7,01,https://twitter.com/rynrbrtsn/status/1505354423370928132,[],[],0,,False,0,1,0,,mask US,,,,,,,"[{'screen_name': 'BeautifulSabr', 'name': '#SaveIdlib skittleس', 'id': '4890713811'}, {'screen_name': 'BombDr73', 'name': 'Robert Campbell', 'id': '1497202685921087492'}, {'screen_name': 'BobbyLunch69', 'name': 'Geile Bitch', 'id': '895688090563620864'}, {'screen_name': 'GeorgeMonbiot', 'name': 'George Monbiot', 'id': '198584761'}, {'screen_name': 'AaronBastani', 'name': 'Aaron Bastani', 'id': '63082578'}]",
193,1647739406000.0,2022-03-20 01:23:26,+0000,,"@RichFelker @TwitterSafety @Twitter @NikkiFried 👍🏿Yeah, more official reports would be good. But that queue is understandably slower. 🤷🏿‍♂️  A US politician account has the potential to spread extremely harmful disinfo, fast. I'm assuming there's a TWTR team very focused on this stuff, that would love to get this escalation ASAP.",en,[],[],19847709,19847709,mekkaokereke,Mekka 💉💉💉🎉 *My Mask Protects You* Okereke,7,01,https://twitter.com/mekkaokereke/status/1505354292470767616,[],[],0,,False,1,0,0,,mask US,,,,,,,"[{'screen_name': 'RichFelker', 'name': 'Rich Felker', 'id': '2381494610'}, {'screen_name': 'TwitterSafety', 'name': 'Twitter Safety', 'id': '95731075'}, {'screen_name': 'Twitter', 'name': 'Twitter', 'id': '783214'}, {'screen_name': 'NikkiFried', 'name': 'Nikki.eth', 'id': '37190669'}]",
194,1647739369000.0,2022-03-20 01:22:49,+0000,,Don't be distracted.  COVID still very much with us and on the rise.  KEEP YOUR MASK ON.,en,[],[],1312012877209858050,1312012877209858050,RuadhMairi,MairiRuadh,7,01,https://twitter.com/RuadhMairi/status/1505354140251164676,[],[],0,,False,20,0,6,,mask US,,,,,,,[],
